,sample1,sample2,AMT_score
1885,S026C001P071R001A098,S002C001P014R001A040,1.9
1886,S006C001P022R001A009,S011C003P001R001A009,3.545454545
1887,S027C001P079R002A104,S026C001P071R002A099,1.1
1888,S030C001P081R002A104,S031C001P100R002A104,1.1
1889,S012C002P037R002A039,S017C001P015R001A039,3.444444444
1890,S008C001P034R001A027,S012C003P008R001A027,3.4
1891,S025C001P059R002A097,S030C002P081R002A104,1.25
1892,S008C001P001R001A023,S014C001P017R001A023,2.8
1893,S006C002P023R002A008,S023C003P061R001A080,1.9
1894,S031C003P099R001A080,S006C001P023R002A035,1.1
1895,S001C003P006R001A039,S010C001P008R001A039,3.9
1896,S006C001P023R001A040,S002C001P009R001A040,3.727272727
1897,S016C001P021R002A039,S013C003P019R001A048,1.2
1898,S027C001P086R002A097,S030C003P096R001A097,3.9
1899,S008C003P001R001A026,S002C001P014R001A009,1.2
1900,S027C002P011R002A098,S016C001P040R001A040,1.3
1901,S026C002P072R002A101,S028C001P043R002A101,3
1902,S005C003P010R001A035,S007C001P028R001A008,1.4
1903,S002C002P003R002A008,S007C003P028R001A008,3.2
1904,S002C001P014R001A009,S010C002P025R002A027,1.4
1905,S032C001P105R001A101,S006C001P023R002A008,1
1906,S002C002P011R002A027,S006C001P023R001A027,3
1907,S027C001P085R002A102,S027C001P083R001A101,1
1908,S011C001P028R001A023,S013C001P018R002A023,2.8
1909,S005C002P010R002A008,S007C003P028R001A008,3.363636364
1910,S010C003P013R001A007,S010C002P025R002A022,1.888888889
1911,S032C001P105R002A099,S001C002P006R002A027,1.1
1912,S001C002P001R002A022,S001C001P005R002A022,1.7
1913,S008C003P025R001A008,S023C001P055R001A104,1
1914,S002C003P014R001A040,S008C001P033R002A009,1.090909091
1915,S008C003P029R001A040,S008C001P036R001A039,1.444444444
1916,S020C003P052R001A104,S032C002P043R002A097,1.272727273
1917,S013C001P018R002A048,S002C001P013R002A035,1.8
1918,S008C001P035R002A009,S008C003P031R001A027,1.2
1919,S006C001P024R001A022,S008C001P035R002A007,1.1
1920,S023C002P061R002A102,S029C001P051R001A102,3.222222222
1921,S016C001P040R001A009,S007C003P019R001A026,1.1
1922,S002C001P014R002A026,S008C002P035R002A026,3.545454545
1923,S027C001P080R002A096,S028C003P073R001A098,1.3
1924,S032C003P106R001A099,S002C001P011R002A027,1.1
1925,S001C002P004R002A023,S006C003P023R001A023,3.6
1926,S023C002P066R002A080,S023C001P068R002A080,3.444444444
1927,S002C001P011R001A008,S032C003P106R001A080,2.2
1928,S008C001P029R002A027,S031C003P043R001A100,1.125
1929,S029C002P044R002A098,S031C003P006R001A098,3.3
1930,S025C001P068R002A098,S028C001P087R001A096,1
1931,S008C003P035R001A008,S030C003P088R001A080,2.5
1932,S023C001P055R002A101,S013C002P018R002A048,1.181818182
1933,S022C001P061R001A101,S008C001P034R001A008,1.2
1934,S031C003P097R001A102,S022C002P064R002A102,3.5
1935,S004C002P020R002A022,S008C001P034R002A022,3.6
1936,S006C002P022R002A008,S006C002P023R002A035,2.1
1937,S005C001P017R001A009,S001C002P002R002A009,3.5
1938,S025C003P056R001A080,S013C003P027R001A048,1.454545455
1939,S008C002P030R002A023,S017C003P009R001A023,3.111111111
1940,S005C003P017R001A009,S007C002P007R002A048,1.2
1941,S030C001P044R002A102,S029C001P080R002A101,1
1942,S028C003P087R001A097,S030C002P092R002A098,1.7
1943,S009C002P019R002A035,S005C002P016R002A048,1.5
1944,S026C003P071R001A100,S025C002P066R002A100,3.75
1945,S008C003P033R001A027,S031C001P043R001A100,1.111111111
1946,S029C002P044R002A099,S013C002P037R002A027,1.1
1947,S027C002P079R002A099,S029C002P044R002A099,3.333333333
1948,S001C001P004R001A007,S011C003P016R001A007,2.5
1949,S008C001P025R001A008,S016C001P040R001A008,3.8
1950,S005C003P021R001A007,S027C003P086R001A095,1.4
1951,S021C003P056R001A095,S008C002P029R002A008,1
1952,S026C003P072R001A098,S031C001P006R001A098,3.666666667
1953,S008C001P033R001A035,S011C001P038R002A035,4
1954,S029C001P049R001A100,S016C001P021R001A027,1.111111111
1955,S002C001P014R001A035,S013C003P008R001A008,1
1956,S021C001P060R001A102,S007C003P028R001A026,1.1
1957,S032C002P104R002A097,S017C003P015R001A039,1.181818182
1958,S024C003P061R001A100,S020C003P052R001A099,2
1959,S020C001P052R001A099,S030C001P096R002A099,3.1
1960,S002C003P013R001A027,S023C001P059R001A099,1.5
1961,S006C001P022R002A026,S002C001P014R002A026,3.636363636
1962,S002C001P011R002A027,S001C002P005R002A026,1.454545455
1963,S023C001P066R001A101,S027C002P079R002A101,3.545454545
1964,S023C003P055R001A104,S029C001P088R001A097,1.3
1965,S002C001P013R001A023,S007C001P016R001A023,3.909090909
1966,S002C001P014R001A022,S008C001P036R002A022,3.3
1967,S008C002P032R002A007,S010C003P008R001A023,1.1
1968,S023C001P055R002A101,S002C001P011R002A035,1.111111111
1969,S002C002P014R002A048,S013C002P018R002A048,2.6
1970,S027C001P084R001A098,S027C001P081R002A096,1.2
1971,S013C001P027R001A035,S005C001P010R001A035,3.4
1972,S001C001P005R001A040,S028C001P087R001A096,1
1973,S031C001P096R002A098,S031C001P100R001A098,1.555555556
1974,S025C003P068R001A097,S011C003P002R001A022,1.363636364
1975,S014C002P027R002A022,S006C002P022R002A022,4
1976,S009C003P017R001A040,S008C001P034R002A007,1.2
1977,S021C003P059R001A095,S008C003P029R001A022,1.75
1978,S010C002P017R002A048,S016C002P039R002A048,3.4
1979,S020C003P052R001A104,S023C001P068R002A104,2.818181818
1980,S006C003P022R001A009,S002C002P009R002A026,1
1981,S015C001P016R002A027,S012C002P019R002A027,3.7
1982,S011C001P028R001A023,S008C002P036R002A022,1.363636364
1983,S013C001P018R002A048,S030C001P096R002A101,1.1
1984,S029C002P080R002A080,S026C003P072R001A080,3.7
1985,S024C003P061R001A100,S031C001P097R002A100,3.636363636
1986,S008C002P030R002A027,S024C003P064R001A099,1.4
1987,S008C003P035R001A023,S008C001P031R002A023,4
1988,S011C001P028R001A023,S023C001P055R001A104,1.181818182
1989,S011C003P002R001A022,S011C001P002R002A007,1.666666667
1990,S008C001P030R002A023,S030C002P095R002A104,1.1
1991,S006C001P023R002A022,S006C001P022R001A007,1.2
1992,S002C002P011R002A027,S024C003P061R001A099,1.5
1993,S008C001P029R002A039,S017C003P003R001A039,3.6
1994,S001C003P004R001A039,S003C003P017R001A039,3.818181818
1995,S008C002P033R002A048,S032C001P102R002A101,1
1996,S001C001P005R002A035,S008C001P032R002A035,3.111111111
1997,S002C002P011R002A048,S013C002P018R002A048,2.636363636
1998,S016C003P040R001A035,S011C001P038R002A035,3.444444444
1999,S016C001P040R001A039,S004C001P020R002A039,3.6
2000,S008C001P036R002A009,S009C001P007R001A026,1.363636364
2001,S002C002P003R002A008,S011C003P038R001A048,1.625
2002,S002C001P014R001A023,S017C001P009R001A023,3.3
2003,S008C003P036R001A039,S006C001P022R002A040,1.6
2004,S011C002P038R002A008,S010C003P021R001A048,1.6
2005,S020C003P054R001A098,S027C002P011R002A098,3.090909091
2006,S002C002P003R002A008,S007C001P028R001A008,3.875
2007,S006C001P017R001A026,S017C003P003R001A039,1
2008,S008C002P036R002A008,S005C003P010R001A035,1.4
2009,S001C001P004R002A027,S027C003P079R001A100,1.3
2010,S005C001P010R002A023,S008C001P035R001A022,1.4
2011,S002C002P014R002A027,S030C003P095R001A099,1.3
2012,S030C003P011R001A100,S031C001P100R002A100,3.555555556
2013,S008C001P032R002A048,S028C001P008R001A101,1.4
2014,S002C001P013R001A022,S031C001P097R001A104,1.2
2015,S004C003P003R001A035,S031C003P096R001A080,1.181818182
2016,S005C002P016R002A048,S026C001P072R002A101,1.2
2017,S032C001P044R002A101,S028C003P087R001A101,3.3
2018,S027C001P085R002A096,S016C002P008R002A022,1
2019,S025C003P068R001A097,S026C001P072R002A104,1.636363636
2020,S024C002P060R002A096,S030C003P096R001A096,3.1
2021,S019C002P050R002A104,S011C001P038R001A040,1.3
2022,S030C001P096R002A099,S002C001P013R001A027,1.272727273
2023,S015C002P025R002A040,S013C002P027R002A007,1.1
2024,S008C003P033R001A027,S014C002P037R002A026,1.333333333
2025,S008C003P031R001A027,S030C001P095R001A100,1.2
2026,S025C003P056R001A102,S008C002P015R002A007,1.1
2027,S021C003P058R001A098,S019C002P049R002A098,2.7
2028,S017C002P009R002A007,S008C001P032R002A007,3.4
2029,S024C003P061R001A100,S024C001P060R002A100,2.444444444
2030,S001C003P007R001A040,S031C003P100R001A096,1.25
2031,S031C003P100R001A097,S026C003P049R001A097,3.6
2032,S013C001P037R002A040,S006C002P022R002A040,4
2033,S008C003P029R001A040,S001C001P005R001A040,3.555555556
2034,S006C001P008R002A026,S002C001P012R001A026,3
2035,S011C001P028R001A023,S007C001P016R001A023,2.6
2036,S007C001P028R001A008,S009C001P017R002A008,3.5
2037,S002C002P014R002A048,S001C002P004R002A035,1.8
2038,S026C001P071R002A097,S021C001P058R001A098,1.9
2039,S010C002P021R002A026,S012C002P019R002A027,1.9
2040,S024C003P061R001A100,S020C001P052R001A099,2
2041,S019C001P050R002A099,S025C001P055R002A099,3.8
2042,S006C001P022R002A008,S002C003P007R001A008,3.5
2043,S031C002P082R002A098,S031C001P100R001A098,1.8
2044,S005C003P015R001A035,S017C003P020R001A048,2.5
2045,S006C001P022R001A009,S013C001P019R002A009,3.363636364
2046,S032C002P102R002A098,S010C002P013R002A040,1.9
2047,S026C001P072R001A095,S011C003P027R001A040,1.4
2048,S027C003P079R001A100,S025C001P055R002A099,1.5
2049,S008C002P031R002A026,S008C002P035R002A027,1
2050,S017C001P016R002A008,S014C001P037R002A008,3.6
2051,S026C002P072R002A104,S023C002P058R002A104,3.5
2052,S023C002P061R002A102,S006C001P024R001A026,1.727272727
2053,S008C002P035R002A026,S006C003P023R001A026,3.6
2054,S016C002P008R002A022,S008C001P034R002A007,1.1
2055,S001C003P006R001A039,S008C001P036R001A039,3
2056,S002C003P007R001A022,S014C001P017R001A023,1.7
2057,S028C003P087R001A080,S027C002P079R002A080,3
2058,S030C001P044R001A080,S026C002P071R002A080,3.1
2059,S028C003P046R001A100,S031C001P097R002A100,3.444444444
2060,S002C003P014R001A022,S023C001P068R002A104,1.1
2061,S024C003P064R001A099,S016C001P039R002A027,1.3
2062,S028C001P043R002A101,S001C001P004R002A035,1.333333333
2063,S008C002P033R002A007,S005C003P018R001A007,3.3
2064,S008C003P034R001A008,S030C002P095R002A080,1.6
2065,S008C001P029R002A027,S015C002P016R002A027,3.4
2066,S029C001P049R001A100,S024C001P061R001A100,4
2067,S027C003P083R001A099,S016C001P039R002A027,1.888888889
2068,S032C001P105R001A096,S031C001P097R001A098,1.333333333
2069,S006C003P024R001A007,S006C001P024R002A023,1.3
2070,S014C003P037R001A009,S011C001P038R001A009,3.3
2071,S022C002P064R002A102,S030C001P095R001A102,3.454545455
2072,S008C002P033R002A040,S009C001P019R001A040,3.9
2073,S008C003P032R001A026,S014C002P037R002A026,4
2074,S002C002P011R002A048,S023C002P068R002A101,1
2075,S007C001P018R002A026,S009C001P017R001A027,2
2076,S031C001P097R001A104,S031C001P100R002A104,2.090909091
2077,S008C003P036R001A023,S001C003P006R001A022,1.4
2078,S002C002P014R002A007,S010C002P021R002A022,1.2
2079,S012C002P037R002A039,S012C001P037R002A039,3.9
2080,S020C003P052R001A096,S004C002P020R002A039,1.5
2081,S029C001P080R002A100,S019C002P050R002A100,3.727272727
2082,S008C003P007R001A039,S016C001P040R001A040,1.2
2083,S008C003P035R001A040,S009C003P017R001A040,3.363636364
2084,S012C002P019R002A027,S028C001P073R002A099,1.545454545
2085,S005C003P010R001A035,S013C001P019R001A048,2.4
2086,S028C002P073R002A099,S023C003P060R001A099,4
2087,S008C001P033R002A007,S021C001P056R001A095,1
2088,S001C001P006R001A022,S032C001P106R002A104,2.636363636
2089,S032C001P044R001A097,S032C001P102R002A104,1.6
2090,S026C001P071R001A098,S011C001P002R002A040,1.888888889
2091,S021C003P056R001A095,S027C001P084R002A104,1.454545455
2092,S006C002P022R002A027,S023C003P059R001A099,1.5
2093,S029C001P049R001A100,S017C001P003R002A026,1.777777778
2094,S008C001P007R001A039,S014C001P027R001A039,3.888888889
2095,S027C003P079R001A098,S026C003P008R001A098,2.5
2096,S002C003P014R001A035,S001C001P005R002A035,2.7
2097,S028C001P087R002A100,S027C003P083R001A099,1.8
2098,S027C001P083R001A098,S027C003P083R001A097,1.666666667
2099,S016C002P025R002A026,S001C003P006R001A008,1
2100,S014C003P037R001A007,S016C001P040R001A022,1.727272727
2101,S007C003P016R001A023,S025C002P066R002A104,1.1
2102,S008C001P029R002A027,S030C001P011R002A099,1.125
2103,S027C001P081R001A095,S002C003P014R001A022,2
2104,S013C003P008R001A008,S014C003P008R001A035,2
2105,S032C001P044R001A097,S026C001P072R001A098,1.3
2106,S001C003P004R001A007,S008C001P031R001A022,1.2
2107,S002C002P010R002A040,S001C003P006R001A040,3.4
2108,S027C001P086R001A104,S030C001P092R002A095,2
2109,S008C002P033R002A009,S008C001P031R001A027,1.1
2110,S027C003P083R001A099,S031C002P085R002A099,3.8
2111,S023C001P066R001A097,S030C001P011R002A104,1.7
2112,S003C001P019R001A022,S002C001P012R002A022,3
2113,S004C002P020R002A027,S029C002P080R002A100,1.333333333
2114,S016C001P040R001A039,S007C003P018R001A039,3.7
2115,S008C003P029R001A040,S004C001P020R002A007,1.166666667
2116,S006C001P023R002A022,S008C002P034R002A023,1.666666667
2117,S021C001P058R002A099,S009C003P007R001A026,1.6
2118,S006C003P022R001A023,S002C003P013R001A023,3.909090909
2119,S005C001P010R002A023,S007C001P027R002A023,2.777777778
2120,S026C001P072R002A100,S016C001P040R002A026,1.6
2121,S027C002P084R002A102,S031C001P100R001A101,1
2122,S010C002P021R002A026,S001C002P005R002A026,3.1
2123,S008C001P035R002A009,S016C003P040R001A048,1
2124,S023C002P066R002A080,S004C001P003R001A035,1
2125,S028C001P046R001A104,S026C002P072R002A104,3.6
2126,S007C002P026R002A008,S008C003P030R001A008,3.9
2127,S001C001P006R002A027,S017C003P009R001A027,3.545454545
2128,S002C001P009R001A040,S009C003P019R001A040,3.6
2129,S032C002P106R002A104,S027C001P084R002A104,2.1
2130,S004C001P003R001A023,S016C001P040R001A022,1.9
2131,S006C003P022R001A023,S004C001P003R001A023,2.818181818
2132,S008C003P034R001A048,S006C003P023R001A048,3.6
2133,S011C001P027R001A040,S002C001P014R001A040,3.7
2134,S030C003P076R001A101,S008C003P036R001A048,1
2135,S010C001P021R001A048,S010C003P021R001A048,3.9
2136,S016C003P040R001A022,S008C002P015R002A007,2.111111111
2137,S032C003P106R001A102,S030C002P011R002A102,3.3
2138,S011C001P028R001A023,S008C001P031R001A007,1
2139,S008C001P029R002A007,S014C001P017R001A007,1.090909091
2140,S005C001P010R001A026,S008C003P034R001A009,1.3
2141,S021C002P059R002A100,S028C001P073R001A100,3
2142,S007C002P026R002A008,S021C002P060R002A080,1.9
2143,S027C001P083R001A104,S028C001P087R002A104,3.181818182
2144,S002C001P011R002A026,S025C001P055R002A099,1.4
2145,S021C003P056R001A100,S002C001P011R002A040,1
2146,S030C002P095R002A080,S012C001P037R001A035,1.1
2147,S011C002P002R002A023,S029C003P080R001A104,1.272727273
2148,S032C001P105R002A097,S026C003P075R001A097,3.6
2149,S027C001P080R002A096,S027C001P084R002A096,2.6
2150,S026C002P049R002A101,S012C001P037R001A035,1.6
2151,S008C001P031R002A040,S027C001P084R002A096,1.333333333
2152,S002C001P014R002A008,S005C001P016R002A048,1.111111111
2153,S016C001P040R001A039,S002C002P014R002A048,1.7
2154,S008C001P029R002A027,S032C003P106R001A096,1.1
2155,S027C001P084R002A096,S030C001P092R002A098,1.2
2156,S020C003P052R001A096,S027C003P079R001A096,3.8
2157,S011C003P016R001A007,S008C002P029R002A007,1.7
2158,S016C002P040R002A007,S001C001P005R002A007,3
2159,S016C003P040R001A009,S008C002P035R002A009,3.8
2160,S013C003P008R001A008,S004C001P020R001A008,2.5
2161,S014C001P007R001A007,S001C002P005R002A007,3.2
2162,S026C003P071R001A104,S010C001P013R002A040,1.1
2163,S032C001P008R001A102,S026C002P071R002A095,1
2164,S008C001P031R001A008,S001C002P006R002A048,1
2165,S014C001P037R002A026,S011C003P001R001A009,1.333333333
2166,S006C001P023R001A048,S020C001P052R002A101,1.181818182
2167,S001C003P006R001A007,S008C002P030R002A023,1.9
2168,S007C002P026R002A008,S013C003P008R001A008,2.5
2169,S002C003P014R001A040,S008C003P034R001A040,3.4
2170,S001C003P006R001A040,S008C001P034R002A007,1.1
2171,S021C001P060R001A102,S022C002P064R002A102,3.2
2172,S008C001P036R001A035,S020C001P052R002A080,1.111111111
2173,S020C001P053R001A100,S005C001P010R001A026,1.1
2174,S001C003P006R001A022,S008C003P031R001A022,3.7
2175,S022C001P061R001A101,S032C002P044R002A101,3.1
2176,S016C001P039R002A048,S023C003P059R001A101,1.5
2177,S010C002P008R002A040,S032C001P106R001A096,1.3
2178,S008C001P034R001A027,S026C002P072R002A099,1.7
2179,S032C001P102R002A102,S032C001P008R001A102,3.222222222
2180,S001C001P004R002A023,S015C001P019R002A023,2.2
2181,S001C003P006R001A007,S011C001P016R001A007,3.4
2182,S030C003P096R001A096,S005C003P010R001A039,1.7
2183,S027C002P081R002A097,S023C002P060R002A097,3.727272727
2184,S002C003P007R001A022,S026C003P071R001A104,1.2
2185,S026C003P050R001A097,S031C002P096R002A104,1.5
2186,S022C001P064R002A098,S022C002P064R002A098,3.9
2187,S001C003P006R001A039,S016C003P040R001A048,1.2
2188,S022C001P064R002A098,S026C002P049R002A096,1.2
2189,S017C001P009R001A023,S014C003P007R001A007,1.1
2190,S023C002P060R002A097,S023C002P064R002A104,1.8
2191,S019C002P008R002A100,S031C002P051R002A099,1.7
2192,S026C001P072R002A100,S007C002P015R002A027,1.1
2193,S009C001P019R001A040,S001C003P004R001A039,1.454545455
2194,S007C001P028R001A008,S007C001P001R002A048,1.2
2195,S008C003P029R001A009,S009C003P017R001A027,1.1
2196,S031C001P099R001A080,S008C002P001R002A035,1
2197,S027C001P006R001A102,S030C003P092R001A101,1
2198,S027C002P086R002A100,S012C001P008R001A027,1.090909091
2199,S026C001P071R001A104,S030C002P095R002A104,2.7
2200,S002C002P014R002A027,S030C001P096R002A100,1.1
2201,S016C001P040R001A039,S027C002P080R002A102,1.1
2202,S027C002P084R002A099,S029C001P006R001A099,3.1
2203,S001C001P004R001A007,S010C001P008R001A023,1
2204,S029C001P088R001A097,S027C001P011R002A097,3.8
2205,S016C003P021R001A035,S007C003P017R001A035,2.363636364
2206,S005C001P010R002A009,S008C002P032R002A048,1
2207,S005C001P004R002A048,S030C002P096R002A101,1.272727273
2208,S024C002P061R002A098,S026C001P049R002A096,1.555555556
2209,S029C001P080R002A098,S029C003P051R001A097,2
2210,S026C002P072R002A099,S009C003P017R001A027,1.8
2211,S007C001P007R002A048,S001C002P005R002A035,1.625
2212,S002C001P003R002A022,S007C002P027R002A023,1.181818182
2213,S010C002P008R002A040,S003C003P002R001A039,1.1
2214,S001C001P006R001A040,S032C003P105R001A096,1.1
2215,S026C001P071R001A104,S030C001P081R002A104,2.8
2216,S023C001P066R001A102,S026C002P049R002A101,1.2
2217,S006C002P023R002A009,S011C003P038R001A009,3.6
2218,S002C001P013R001A022,S016C001P039R002A022,2.777777778
2219,S021C001P059R002A100,S018C001P044R002A100,3.909090909
2220,S014C001P008R001A035,S006C002P024R002A035,3.818181818
2221,S029C002P044R002A098,S031C002P051R002A098,3.2
2222,S030C001P095R002A097,S027C001P082R001A097,3.2
2223,S007C001P027R002A023,S009C003P025R001A023,3.2
2224,S001C003P005R001A009,S013C001P016R002A009,3.8
2225,S027C001P081R002A096,S015C001P025R001A039,1.888888889
2226,S026C003P071R001A098,S029C002P044R002A098,3.4
2227,S032C002P105R002A104,S029C003P080R001A104,2
2228,S027C001P083R001A097,S029C001P080R001A097,3.6
2229,S026C001P050R002A101,S027C003P084R001A101,3.636363636
2230,S019C002P049R002A099,S029C001P006R001A099,3.7
2231,S007C002P018R002A035,S027C001P081R002A080,1.444444444
2232,S023C003P059R001A099,S002C002P014R002A027,1.111111111
2233,S023C001P055R002A101,S014C003P037R001A007,1
2234,S032C003P106R001A080,S005C003P018R001A008,2
2235,S032C001P105R002A104,S029C002P006R002A095,3
2236,S032C001P044R001A097,S029C003P080R001A104,1.2
2237,S023C002P068R002A080,S002C001P011R002A035,1.6
2238,S023C001P060R001A099,S014C002P037R002A026,1.4
2239,S006C001P023R001A007,S008C001P031R001A007,3.4
2240,S002C003P013R001A023,S017C001P009R001A023,3.1
2241,S002C003P014R001A023,S010C001P008R001A023,3
2242,S026C003P050R001A102,S020C001P053R002A102,2.6
2243,S027C001P084R001A098,S028C002P073R002A096,1
2244,S016C003P021R001A027,S030C001P095R001A100,1
2245,S010C001P017R002A048,S010C001P021R001A048,3.545454545
2246,S002C003P013R001A023,S008C001P036R002A022,1.545454545
2247,S028C001P073R001A080,S008C002P032R002A035,1.2
2248,S031C003P097R001A102,S028C001P087R002A102,3.3
2249,S031C001P051R002A101,S007C002P007R002A048,1
2250,S027C001P085R001A101,S030C003P011R001A101,3.454545455
2251,S016C003P021R001A027,S007C002P028R002A027,3.6
2252,S027C003P083R001A101,S014C002P039R002A008,1
2253,S023C003P066R001A097,S028C003P046R001A104,2.4
2254,S008C001P033R001A035,S008C002P029R002A008,1.3
2255,S002C001P013R002A035,S009C002P019R002A035,3.666666667
2256,S008C001P033R001A027,S016C003P021R001A027,3.8
2257,S032C001P105R002A104,S027C002P084R002A097,1.272727273
2258,S016C003P040R001A039,S025C003P056R001A096,1.222222222
2259,S002C002P012R002A040,S008C002P034R002A007,1.2
2260,S028C003P046R001A099,S030C002P092R002A100,2.5
2261,S002C003P011R001A039,S008C001P029R002A039,3.3
2262,S031C001P100R001A096,S008C001P030R001A039,1.3
2263,S008C001P029R001A022,S008C001P033R002A023,1.4
2264,S023C003P066R001A101,S031C002P051R002A101,3.6
2265,S027C001P083R001A099,S031C002P051R002A099,3.777777778
2266,S021C001P056R001A095,S016C001P040R001A022,1.545454545
2267,S002C002P012R002A035,S010C002P013R002A048,1.8
2268,S026C001P071R002A097,S019C001P049R002A098,1.333333333
2269,S016C003P021R001A027,S008C002P035R002A027,3.7
2270,S028C002P087R002A100,S027C002P086R002A100,3.555555556
2271,S020C001P052R002A101,S002C001P013R002A035,1.1
2272,S027C002P082R002A100,S029C001P044R002A099,1.7
2273,S021C003P060R001A104,S031C003P043R001A095,1.4
2274,S027C002P086R002A097,S031C003P099R001A104,1.3
2275,S027C002P084R002A099,S006C003P024R001A026,1.2
2276,S030C002P081R002A099,S030C001P011R002A099,3.9
2277,S016C001P008R002A022,S007C003P016R001A023,1.636363636
2278,S026C002P072R002A104,S029C002P044R002A104,1.7
2279,S026C001P049R002A101,S005C003P015R001A035,1.888888889
2280,S023C002P066R002A080,S011C001P028R002A048,1.111111111
2281,S007C001P027R002A023,S006C001P023R001A007,1.666666667
2282,S001C003P004R001A009,S006C003P024R001A027,1
2283,S030C002P092R002A095,S021C003P059R001A095,3
2284,S027C001P085R002A102,S020C001P052R002A095,1
2285,S013C001P019R001A048,S008C003P036R001A048,2.9
2286,S026C001P050R002A101,S008C003P035R001A008,1.090909091
2287,S026C002P072R002A100,S008C001P031R002A026,1.454545455
2288,S002C003P012R001A026,S026C001P072R002A099,1.4
2289,S005C001P010R002A023,S019C002P050R002A104,1.1
2290,S023C003P068R001A102,S029C001P006R002A095,1
2291,S031C003P097R001A102,S023C001P059R001A101,1
2292,S030C001P076R001A096,S012C003P028R001A039,1.2
2293,S008C003P034R001A040,S024C001P060R002A096,1.6
2294,S006C002P022R002A027,S024C001P060R002A100,1.3
2295,S016C001P040R001A039,S008C001P031R002A040,2.5
2296,S008C002P031R002A026,S008C001P035R002A009,1
2297,S031C003P099R001A080,S008C001P029R002A008,1.9
2298,S011C002P002R002A007,S005C001P021R001A007,1.3
2299,S002C001P011R002A026,S010C001P021R002A026,3.5
2300,S030C001P096R002A102,S025C003P056R001A102,3.8
2301,S008C002P031R002A040,S027C001P085R002A096,2.111111111
2302,S016C002P040R002A007,S004C001P003R001A023,1.4
2303,S014C003P025R001A007,S006C001P022R001A023,1.3
2304,S026C001P072R002A097,S032C002P106R002A097,2.555555556
2305,S015C002P019R002A023,S019C001P050R002A104,1.111111111
2306,S009C003P019R001A040,S011C001P038R001A040,3.818181818
2307,S019C002P049R002A104,S031C001P100R001A097,1.222222222
2308,S003C003P002R001A027,S017C002P003R002A026,1.7
2309,S027C002P084R002A095,S021C003P059R001A095,3.2
2310,S008C001P032R002A048,S001C001P006R001A039,1
2311,S009C002P017R002A008,S006C001P024R001A008,3.2
2312,S020C003P052R001A099,S002C001P012R001A026,1.636363636
2313,S013C001P027R002A007,S005C001P018R001A007,2.888888889
2314,S021C002P058R002A099,S024C001P064R001A099,3.5
2315,S010C002P025R002A027,S016C001P040R002A026,1.555555556
2316,S002C001P014R001A023,S007C001P027R002A023,2.1
2317,S030C001P095R002A097,S026C001P075R002A104,1.7
2318,S008C003P036R001A035,S008C001P032R002A035,3.1
2319,S014C001P037R002A026,S008C002P035R002A009,1
2320,S013C001P027R001A026,S012C001P027R002A009,1
2321,S021C001P056R002A097,S004C002P020R002A022,1.6
2322,S006C001P023R001A023,S008C002P030R002A023,2
2323,S031C002P096R002A098,S027C002P080R002A096,1.777777778
2324,S014C002P037R002A026,S008C001P032R001A026,3.4
2325,S008C003P025R001A008,S011C001P038R002A008,3.727272727
2326,S029C003P080R001A099,S030C001P092R002A100,1.4
2327,S008C001P034R002A026,S006C003P024R001A009,1
2328,S001C001P003R002A040,S017C003P003R001A039,1.375
2329,S013C001P037R002A040,S002C001P014R001A040,3.4
2330,S008C003P029R001A040,S008C001P033R001A039,1.416666667
2331,S019C003P046R001A101,S023C002P055R002A101,3.9
2332,S021C001P060R001A102,S002C003P014R001A023,1
2333,S008C002P029R002A048,S001C003P005R001A048,3.444444444
2334,S015C001P025R001A039,S012C002P037R002A039,3.7
2335,S030C001P092R001A101,S014C001P019R002A008,1.1
2336,S010C002P025R002A027,S019C001P050R002A099,1.777777778
2337,S005C001P018R001A007,S008C001P031R001A007,2.909090909
2338,S014C002P039R002A023,S028C002P087R002A104,1.3
2339,S006C003P024R001A040,S008C001P035R001A040,3.4
2340,S008C002P036R002A008,S014C001P019R002A008,3.4
2341,S030C001P096R001A097,S026C001P072R002A097,3.875
2342,S008C001P036R001A035,S026C001P072R001A080,1.3
2343,S032C001P106R001A096,S008C001P033R001A039,1.8
2344,S031C002P051R002A098,S027C003P083R001A097,2.181818182
2345,S013C001P027R002A007,S011C003P028R001A007,2.888888889
2346,S020C001P041R001A099,S007C002P028R002A027,1.5
2347,S029C003P080R001A104,S023C001P058R002A104,1.666666667
2348,S032C002P105R002A102,S030C002P011R002A102,3.6
2349,S002C001P014R001A039,S008C001P032R002A048,1.1
2350,S006C001P024R002A035,S013C002P018R002A048,1.909090909
2351,S023C001P055R002A101,S008C001P029R002A008,1
2352,S017C001P009R002A007,S008C002P034R002A007,3.2
2353,S008C001P035R002A009,S001C001P004R002A027,1.6
2354,S020C001P053R001A100,S025C002P055R002A100,3.7
2355,S008C001P034R002A022,S028C001P073R002A104,1.6
2356,S012C003P008R001A027,S023C003P059R001A099,1.181818182
2357,S026C001P050R002A101,S006C001P022R001A035,1.4
2358,S007C001P015R002A027,S006C001P024R001A027,3.888888889
2359,S008C003P035R001A040,S027C003P086R001A096,1.545454545
2360,S030C002P092R002A095,S010C002P025R002A022,1.4
2361,S025C003P055R001A102,S027C001P006R001A102,3.9
2362,S014C003P017R001A007,S017C001P009R002A007,1.7
